 
"State","CA"
"County","Alameda"
"Fast-food restaurants, 2011","1090"
"Fast-food restaurants, 2016","1293"
"Fast-food restaurants (% change), 2011-16","18.623853"
"Fast-food restaurants/1,000 pop, 2011","0.711388"
"Fast-food restaurants/1,000 pop, 2016","0.782102"
"Fast-food restaurants/1,000 pop (% change), 2011-16","9.940291"
"Full-service restaurants, 2011","1401"
"Full-service restaurants, 2016","1560"
"Full-service restaurants (% change), 2011-16","11.349036"
"Full-service restaurants/1,000 pop, 2011","0.914363"
"Full-service restaurants/1,000 pop, 2016","0.943604"
"Full-service restaurants/1,000 pop (% change), 2011-16","3.198009"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
