 
"State","CA"
"County","Alpine"
"Fast-food restaurants, 2011","2"
"Fast-food restaurants, 2016","0"
"Fast-food restaurants (% change), 2011-16","-100"
"Fast-food restaurants/1,000 pop, 2011","1.829826"
"Fast-food restaurants/1,000 pop, 2016","0"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-100"
"Full-service restaurants, 2011","3"
"Full-service restaurants, 2016","1"
"Full-service restaurants (% change), 2011-16","-66.666667"
"Full-service restaurants/1,000 pop, 2011","2.744739"
"Full-service restaurants/1,000 pop, 2016","0.946074"
"Full-service restaurants/1,000 pop (% change), 2011-16","-65.531378"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
