 
"State","CA"
"County","Amador"
"Fast-food restaurants, 2011","12"
"Fast-food restaurants, 2016","21"
"Fast-food restaurants (% change), 2011-16","75"
"Fast-food restaurants/1,000 pop, 2011","0.319668"
"Fast-food restaurants/1,000 pop, 2016","0.560403"
"Fast-food restaurants/1,000 pop (% change), 2011-16","75.308222"
"Full-service restaurants, 2011","39"
"Full-service restaurants, 2016","44"
"Full-service restaurants (% change), 2011-16","12.820513"
"Full-service restaurants/1,000 pop, 2011","1.03892"
"Full-service restaurants/1,000 pop, 2016","1.174179"
"Full-service restaurants/1,000 pop (% change), 2011-16","13.01922"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
