 
"State","CA"
"County","Butte"
"Fast-food restaurants, 2011","147"
"Fast-food restaurants, 2016","158"
"Fast-food restaurants (% change), 2011-16","7.482993"
"Fast-food restaurants/1,000 pop, 2011","0.668173"
"Fast-food restaurants/1,000 pop, 2016","0.697495"
"Fast-food restaurants/1,000 pop (% change), 2011-16","4.388394"
"Full-service restaurants, 2011","125"
"Full-service restaurants, 2016","132"
"Full-service restaurants (% change), 2011-16","5.6"
"Full-service restaurants/1,000 pop, 2011","0.568174"
"Full-service restaurants/1,000 pop, 2016","0.582717"
"Full-service restaurants/1,000 pop (% change), 2011-16","2.559615"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
