 
"State","CA"
"County","Calaveras"
"Fast-food restaurants, 2011","26"
"Fast-food restaurants, 2016","30"
"Fast-food restaurants (% change), 2011-16","15.384615"
"Fast-food restaurants/1,000 pop, 2011","0.575692"
"Fast-food restaurants/1,000 pop, 2016","0.662032"
"Fast-food restaurants/1,000 pop (% change), 2011-16","14.997581"
"Full-service restaurants, 2011","39"
"Full-service restaurants, 2016","41"
"Full-service restaurants (% change), 2011-16","5.128205"
"Full-service restaurants/1,000 pop, 2011","0.863539"
"Full-service restaurants/1,000 pop, 2016","0.904778"
"Full-service restaurants/1,000 pop (% change), 2011-16","4.775574"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
