 
"State","CA"
"County","Colusa"
"Fast-food restaurants, 2011","16"
"Fast-food restaurants, 2016","8"
"Fast-food restaurants (% change), 2011-16","-50"
"Fast-food restaurants/1,000 pop, 2011","0.748853"
"Fast-food restaurants/1,000 pop, 2016","0.3696"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-50.644491"
"Full-service restaurants, 2011","10"
"Full-service restaurants, 2016","11"
"Full-service restaurants (% change), 2011-16","10"
"Full-service restaurants/1,000 pop, 2011","0.468033"
"Full-service restaurants/1,000 pop, 2016","0.508201"
"Full-service restaurants/1,000 pop (% change), 2011-16","8.582121"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
