 
"State","CA"
"County","Contra Costa"
"Fast-food restaurants, 2011","599"
"Fast-food restaurants, 2016","701"
"Fast-food restaurants (% change), 2011-16","17.028381"
"Fast-food restaurants/1,000 pop, 2011","0.561818"
"Fast-food restaurants/1,000 pop, 2016","0.615644"
"Fast-food restaurants/1,000 pop (% change), 2011-16","9.580732"
"Full-service restaurants, 2011","686"
"Full-service restaurants, 2016","757"
"Full-service restaurants (% change), 2011-16","10.349854"
"Full-service restaurants/1,000 pop, 2011","0.643417"
"Full-service restaurants/1,000 pop, 2016","0.664825"
"Full-service restaurants/1,000 pop (% change), 2011-16","3.327225"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
