 
"State","CA"
"County","Del Norte"
"Fast-food restaurants, 2011","15"
"Fast-food restaurants, 2016","10"
"Fast-food restaurants (% change), 2011-16","-33.333333"
"Fast-food restaurants/1,000 pop, 2011","0.527296"
"Fast-food restaurants/1,000 pop, 2016","0.364299"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-30.911961"
"Full-service restaurants, 2011","16"
"Full-service restaurants, 2016","24"
"Full-service restaurants (% change), 2011-16","50"
"Full-service restaurants/1,000 pop, 2011","0.562449"
"Full-service restaurants/1,000 pop, 2016","0.874317"
"Full-service restaurants/1,000 pop (% change), 2011-16","55.448087"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
