 
"State","CA"
"County","El Dorado"
"Fast-food restaurants, 2011","97"
"Fast-food restaurants, 2016","110"
"Fast-food restaurants (% change), 2011-16","13.402062"
"Fast-food restaurants/1,000 pop, 2011","0.535986"
"Fast-food restaurants/1,000 pop, 2016","0.590534"
"Fast-food restaurants/1,000 pop (% change), 2011-16","10.177258"
"Full-service restaurants, 2011","165"
"Full-service restaurants, 2016","202"
"Full-service restaurants (% change), 2011-16","22.424242"
"Full-service restaurants/1,000 pop, 2011","0.911728"
"Full-service restaurants/1,000 pop, 2016","1.084436"
"Full-service restaurants/1,000 pop (% change), 2011-16","18.942875"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
