 
"State","CA"
"County","Fresno"
"Fast-food restaurants, 2011","569"
"Fast-food restaurants, 2016","634"
"Fast-food restaurants (% change), 2011-16","11.42355"
"Fast-food restaurants/1,000 pop, 2011","0.605087"
"Fast-food restaurants/1,000 pop, 2016","0.647247"
"Fast-food restaurants/1,000 pop (% change), 2011-16","6.967445"
"Full-service restaurants, 2011","490"
"Full-service restaurants, 2016","519"
"Full-service restaurants (% change), 2011-16","5.918367"
"Full-service restaurants/1,000 pop, 2011","0.521077"
"Full-service restaurants/1,000 pop, 2016","0.529844"
"Full-service restaurants/1,000 pop (% change), 2011-16","1.682429"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
