 
"State","CA"
"County","Glenn"
"Fast-food restaurants, 2011","12"
"Fast-food restaurants, 2016","15"
"Fast-food restaurants (% change), 2011-16","25"
"Fast-food restaurants/1,000 pop, 2011","0.426136"
"Fast-food restaurants/1,000 pop, 2016","0.536346"
"Fast-food restaurants/1,000 pop (% change), 2011-16","25.862624"
"Full-service restaurants, 2011","16"
"Full-service restaurants, 2016","18"
"Full-service restaurants (% change), 2011-16","12.5"
"Full-service restaurants/1,000 pop, 2011","0.568182"
"Full-service restaurants/1,000 pop, 2016","0.643616"
"Full-service restaurants/1,000 pop (% change), 2011-16","13.276361"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
