 
"State","CA"
"County","Humboldt"
"Fast-food restaurants, 2011","95"
"Fast-food restaurants, 2016","97"
"Fast-food restaurants (% change), 2011-16","2.105263"
"Fast-food restaurants/1,000 pop, 2011","0.70246"
"Fast-food restaurants/1,000 pop, 2016","0.710888"
"Fast-food restaurants/1,000 pop (% change), 2011-16","1.199816"
"Full-service restaurants, 2011","130"
"Full-service restaurants, 2016","142"
"Full-service restaurants (% change), 2011-16","9.230769"
"Full-service restaurants/1,000 pop, 2011","0.961261"
"Full-service restaurants/1,000 pop, 2016","1.040682"
"Full-service restaurants/1,000 pop (% change), 2011-16","8.262135"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
