 
"State","CA"
"County","Imperial"
"Fast-food restaurants, 2011","81"
"Fast-food restaurants, 2016","103"
"Fast-food restaurants (% change), 2011-16","27.160494"
"Fast-food restaurants/1,000 pop, 2011","0.459817"
"Fast-food restaurants/1,000 pop, 2016","0.569124"
"Fast-food restaurants/1,000 pop (% change), 2011-16","23.771749"
"Full-service restaurants, 2011","78"
"Full-service restaurants, 2016","70"
"Full-service restaurants (% change), 2011-16","-10.25641"
"Full-service restaurants/1,000 pop, 2011","0.442787"
"Full-service restaurants/1,000 pop, 2016","0.386783"
"Full-service restaurants/1,000 pop (% change), 2011-16","-12.648019"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
