 
"State","CA"
"County","Inyo"
"Fast-food restaurants, 2011","13"
"Fast-food restaurants, 2016","15"
"Fast-food restaurants (% change), 2011-16","15.384615"
"Fast-food restaurants/1,000 pop, 2011","0.706483"
"Fast-food restaurants/1,000 pop, 2016","0.831762"
"Fast-food restaurants/1,000 pop (% change), 2011-16","17.732744"
"Full-service restaurants, 2011","29"
"Full-service restaurants, 2016","27"
"Full-service restaurants (% change), 2011-16","-6.896552"
"Full-service restaurants/1,000 pop, 2011","1.576001"
"Full-service restaurants/1,000 pop, 2016","1.497172"
"Full-service restaurants/1,000 pop (% change), 2011-16","-5.001855"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
