 
"State","CA"
"County","Kern"
"Fast-food restaurants, 2011","528"
"Fast-food restaurants, 2016","603"
"Fast-food restaurants (% change), 2011-16","14.204545"
"Fast-food restaurants/1,000 pop, 2011","0.622079"
"Fast-food restaurants/1,000 pop, 2016","0.68129"
"Fast-food restaurants/1,000 pop (% change), 2011-16","9.518227"
"Full-service restaurants, 2011","400"
"Full-service restaurants, 2016","443"
"Full-service restaurants (% change), 2011-16","10.75"
"Full-service restaurants/1,000 pop, 2011","0.471272"
"Full-service restaurants/1,000 pop, 2016","0.500516"
"Full-service restaurants/1,000 pop (% change), 2011-16","6.205437"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
