 
"State","CA"
"County","Kings"
"Fast-food restaurants, 2011","90"
"Fast-food restaurants, 2016","89"
"Fast-food restaurants (% change), 2011-16","-1.111111"
"Fast-food restaurants/1,000 pop, 2011","0.591988"
"Fast-food restaurants/1,000 pop, 2016","0.594137"
"Fast-food restaurants/1,000 pop (% change), 2011-16","0.36301"
"Full-service restaurants, 2011","46"
"Full-service restaurants, 2016","45"
"Full-service restaurants (% change), 2011-16","-2.173913"
"Full-service restaurants/1,000 pop, 2011","0.302572"
"Full-service restaurants/1,000 pop, 2016","0.300407"
"Full-service restaurants/1,000 pop (% change), 2011-16","-0.715635"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
