 
"State","CA"
"County","Lake"
"Fast-food restaurants, 2011","30"
"Fast-food restaurants, 2016","33"
"Fast-food restaurants (% change), 2011-16","10"
"Fast-food restaurants/1,000 pop, 2011","0.466759"
"Fast-food restaurants/1,000 pop, 2016","0.516028"
"Fast-food restaurants/1,000 pop (% change), 2011-16","10.55559"
"Full-service restaurants, 2011","46"
"Full-service restaurants, 2016","46"
"Full-service restaurants (% change), 2011-16","0"
"Full-service restaurants/1,000 pop, 2011","0.715697"
"Full-service restaurants/1,000 pop, 2016","0.719312"
"Full-service restaurants/1,000 pop (% change), 2011-16","0.505082"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
