 
"State","CA"
"County","Lassen"
"Fast-food restaurants, 2011","13"
"Fast-food restaurants, 2016","15"
"Fast-food restaurants (% change), 2011-16","15.384615"
"Fast-food restaurants/1,000 pop, 2011","0.379629"
"Fast-food restaurants/1,000 pop, 2016","0.484747"
"Fast-food restaurants/1,000 pop (% change), 2011-16","27.689722"
"Full-service restaurants, 2011","18"
"Full-service restaurants, 2016","11"
"Full-service restaurants (% change), 2011-16","-38.888889"
"Full-service restaurants/1,000 pop, 2011","0.52564"
"Full-service restaurants/1,000 pop, 2016","0.355481"
"Full-service restaurants/1,000 pop (% change), 2011-16","-32.37174"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
