 
"State","CA"
"County","Los Angeles"
"Fast-food restaurants, 2011","7211"
"Fast-food restaurants, 2016","8264"
"Fast-food restaurants (% change), 2011-16","14.60269"
"Fast-food restaurants/1,000 pop, 2011","0.729415"
"Fast-food restaurants/1,000 pop, 2016","0.814142"
"Fast-food restaurants/1,000 pop (% change), 2011-16","11.615733"
"Full-service restaurants, 2011","7125"
"Full-service restaurants, 2016","8113"
"Full-service restaurants (% change), 2011-16","13.866667"
"Full-service restaurants/1,000 pop, 2011","0.720716"
"Full-service restaurants/1,000 pop, 2016","0.799266"
"Full-service restaurants/1,000 pop (% change), 2011-16","10.898892"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
