 
"State","CA"
"County","Madera"
"Fast-food restaurants, 2011","75"
"Fast-food restaurants, 2016","78"
"Fast-food restaurants (% change), 2011-16","4"
"Fast-food restaurants/1,000 pop, 2011","0.493824"
"Fast-food restaurants/1,000 pop, 2016","0.503336"
"Fast-food restaurants/1,000 pop (% change), 2011-16","1.926255"
"Full-service restaurants, 2011","48"
"Full-service restaurants, 2016","52"
"Full-service restaurants (% change), 2011-16","8.333333"
"Full-service restaurants/1,000 pop, 2011","0.316047"
"Full-service restaurants/1,000 pop, 2016","0.335557"
"Full-service restaurants/1,000 pop (% change), 2011-16","6.173182"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
