 
"State","CA"
"County","Marin"
"Fast-food restaurants, 2011","171"
"Fast-food restaurants, 2016","189"
"Fast-food restaurants (% change), 2011-16","10.526316"
"Fast-food restaurants/1,000 pop, 2011","0.669263"
"Fast-food restaurants/1,000 pop, 2016","0.722665"
"Fast-food restaurants/1,000 pop (% change), 2011-16","7.979239"
"Full-service restaurants, 2011","302"
"Full-service restaurants, 2016","313"
"Full-service restaurants (% change), 2011-16","3.642384"
"Full-service restaurants/1,000 pop, 2011","1.181973"
"Full-service restaurants/1,000 pop, 2016","1.196794"
"Full-service restaurants/1,000 pop (% change), 2011-16","1.253947"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
