 
"State","CA"
"County","Mariposa"
"Fast-food restaurants, 2011","9"
"Fast-food restaurants, 2016","8"
"Fast-food restaurants (% change), 2011-16","-11.111111"
"Fast-food restaurants/1,000 pop, 2011","0.495213"
"Fast-food restaurants/1,000 pop, 2016","0.456517"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-7.814045"
"Full-service restaurants, 2011","12"
"Full-service restaurants, 2016","13"
"Full-service restaurants (% change), 2011-16","8.333333"
"Full-service restaurants/1,000 pop, 2011","0.660284"
"Full-service restaurants/1,000 pop, 2016","0.74184"
"Full-service restaurants/1,000 pop (% change), 2011-16","12.351632"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
