 
"State","CA"
"County","Mendocino"
"Fast-food restaurants, 2011","52"
"Fast-food restaurants, 2016","54"
"Fast-food restaurants (% change), 2011-16","3.846154"
"Fast-food restaurants/1,000 pop, 2011","0.59519"
"Fast-food restaurants/1,000 pop, 2016","0.616375"
"Fast-food restaurants/1,000 pop (% change), 2011-16","3.559302"
"Full-service restaurants, 2011","106"
"Full-service restaurants, 2016","111"
"Full-service restaurants (% change), 2011-16","4.716981"
"Full-service restaurants/1,000 pop, 2011","1.213273"
"Full-service restaurants/1,000 pop, 2016","1.266993"
"Full-service restaurants/1,000 pop (% change), 2011-16","4.427724"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
