 
"State","CA"
"County","Merced"
"Fast-food restaurants, 2011","127"
"Fast-food restaurants, 2016","143"
"Fast-food restaurants (% change), 2011-16","12.598425"
"Fast-food restaurants/1,000 pop, 2011","0.489201"
"Fast-food restaurants/1,000 pop, 2016","0.53184"
"Fast-food restaurants/1,000 pop (% change), 2011-16","8.715995"
"Full-service restaurants, 2011","75"
"Full-service restaurants, 2016","91"
"Full-service restaurants (% change), 2011-16","21.333333"
"Full-service restaurants/1,000 pop, 2011","0.288898"
"Full-service restaurants/1,000 pop, 2016","0.338443"
"Full-service restaurants/1,000 pop (% change), 2011-16","17.149721"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
