 
"State","CA"
"County","Modoc"
"Fast-food restaurants, 2011","7"
"Fast-food restaurants, 2016","3"
"Fast-food restaurants (% change), 2011-16","-57.142857"
"Fast-food restaurants/1,000 pop, 2011","0.735681"
"Fast-food restaurants/1,000 pop, 2016","0.335533"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-54.391487"
"Full-service restaurants, 2011","9"
"Full-service restaurants, 2016","8"
"Full-service restaurants (% change), 2011-16","-11.111111"
"Full-service restaurants/1,000 pop, 2011","0.945875"
"Full-service restaurants/1,000 pop, 2016","0.894755"
"Full-service restaurants/1,000 pop (% change), 2011-16","-5.404566"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
