 
"State","CA"
"County","Mono"
"Fast-food restaurants, 2011","18"
"Fast-food restaurants, 2016","21"
"Fast-food restaurants (% change), 2011-16","16.666667"
"Fast-food restaurants/1,000 pop, 2011","1.256194"
"Fast-food restaurants/1,000 pop, 2016","1.489256"
"Fast-food restaurants/1,000 pop (% change), 2011-16","18.553058"
"Full-service restaurants, 2011","38"
"Full-service restaurants, 2016","34"
"Full-service restaurants (% change), 2011-16","-10.526316"
"Full-service restaurants/1,000 pop, 2011","2.651965"
"Full-service restaurants/1,000 pop, 2016","2.411177"
"Full-service restaurants/1,000 pop (% change), 2011-16","-9.07961"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
