 
"State","CA"
"County","Monterey"
"Fast-food restaurants, 2011","246"
"Fast-food restaurants, 2016","264"
"Fast-food restaurants (% change), 2011-16","7.317073"
"Fast-food restaurants/1,000 pop, 2011","0.584098"
"Fast-food restaurants/1,000 pop, 2016","0.605001"
"Fast-food restaurants/1,000 pop (% change), 2011-16","3.57861"
"Full-service restaurants, 2011","334"
"Full-service restaurants, 2016","380"
"Full-service restaurants (% change), 2011-16","13.772455"
"Full-service restaurants/1,000 pop, 2011","0.793044"
"Full-service restaurants/1,000 pop, 2016","0.870835"
"Full-service restaurants/1,000 pop (% change), 2011-16","9.809115"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
