 
"State","CA"
"County","Napa"
"Fast-food restaurants, 2011","76"
"Fast-food restaurants, 2016","82"
"Fast-food restaurants (% change), 2011-16","7.894737"
"Fast-food restaurants/1,000 pop, 2011","0.551104"
"Fast-food restaurants/1,000 pop, 2016","0.578896"
"Fast-food restaurants/1,000 pop (% change), 2011-16","5.042914"
"Full-service restaurants, 2011","134"
"Full-service restaurants, 2016","150"
"Full-service restaurants (% change), 2011-16","11.940299"
"Full-service restaurants/1,000 pop, 2011","0.971683"
"Full-service restaurants/1,000 pop, 2016","1.058956"
"Full-service restaurants/1,000 pop (% change), 2011-16","8.981545"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
