 
"State","CA"
"County","Nevada"
"Fast-food restaurants, 2011","53"
"Fast-food restaurants, 2016","65"
"Fast-food restaurants (% change), 2011-16","22.641509"
"Fast-food restaurants/1,000 pop, 2011","0.536905"
"Fast-food restaurants/1,000 pop, 2016","0.656214"
"Fast-food restaurants/1,000 pop (% change), 2011-16","22.22178"
"Full-service restaurants, 2011","98"
"Full-service restaurants, 2016","96"
"Full-service restaurants (% change), 2011-16","-2.040816"
"Full-service restaurants/1,000 pop, 2011","0.992767"
"Full-service restaurants/1,000 pop, 2016","0.969178"
"Full-service restaurants/1,000 pop (% change), 2011-16","-2.376073"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
