 
"State","CA"
"County","Orange"
"Fast-food restaurants, 2011","2575"
"Fast-food restaurants, 2016","3025"
"Fast-food restaurants (% change), 2011-16","17.475728"
"Fast-food restaurants/1,000 pop, 2011","0.843304"
"Fast-food restaurants/1,000 pop, 2016","0.951945"
"Fast-food restaurants/1,000 pop (% change), 2011-16","12.882804"
"Full-service restaurants, 2011","2452"
"Full-service restaurants, 2016","2791"
"Full-service restaurants (% change), 2011-16","13.825449"
"Full-service restaurants/1,000 pop, 2011","0.803022"
"Full-service restaurants/1,000 pop, 2016","0.878307"
"Full-service restaurants/1,000 pop (% change), 2011-16","9.375238"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
