 
"State","CA"
"County","Placer"
"Fast-food restaurants, 2011","274"
"Fast-food restaurants, 2016","334"
"Fast-food restaurants (% change), 2011-16","21.89781"
"Fast-food restaurants/1,000 pop, 2011","0.768702"
"Fast-food restaurants/1,000 pop, 2016","0.879545"
"Fast-food restaurants/1,000 pop (% change), 2011-16","14.419435"
"Full-service restaurants, 2011","297"
"Full-service restaurants, 2016","328"
"Full-service restaurants (% change), 2011-16","10.43771"
"Full-service restaurants/1,000 pop, 2011","0.833228"
"Full-service restaurants/1,000 pop, 2016","0.863744"
"Full-service restaurants/1,000 pop (% change), 2011-16","3.662407"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
