 
"State","CA"
"County","Plumas"
"Fast-food restaurants, 2011","13"
"Fast-food restaurants, 2016","9"
"Fast-food restaurants (% change), 2011-16","-30.769231"
"Fast-food restaurants/1,000 pop, 2011","0.659363"
"Fast-food restaurants/1,000 pop, 2016","0.479055"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-27.345832"
"Full-service restaurants, 2011","39"
"Full-service restaurants, 2016","40"
"Full-service restaurants (% change), 2011-16","2.564103"
"Full-service restaurants/1,000 pop, 2011","1.978089"
"Full-service restaurants/1,000 pop, 2016","2.129132"
"Full-service restaurants/1,000 pop (% change), 2011-16","7.635804"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
