 
"State","CA"
"County","Riverside"
"Fast-food restaurants, 2011","1331"
"Fast-food restaurants, 2016","1541"
"Fast-food restaurants (% change), 2011-16","15.777611"
"Fast-food restaurants/1,000 pop, 2011","0.595289"
"Fast-food restaurants/1,000 pop, 2016","0.64571"
"Fast-food restaurants/1,000 pop (% change), 2011-16","8.469984"
"Full-service restaurants, 2011","1089"
"Full-service restaurants, 2016","1211"
"Full-service restaurants (% change), 2011-16","11.202938"
"Full-service restaurants/1,000 pop, 2011","0.487054"
"Full-service restaurants/1,000 pop, 2016","0.507433"
"Full-service restaurants/1,000 pop (% change), 2011-16","4.184054"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
