 
"State","CA"
"County","Sacramento"
"Fast-food restaurants, 2011","937"
"Fast-food restaurants, 2016","1075"
"Fast-food restaurants (% change), 2011-16","14.727855"
"Fast-food restaurants/1,000 pop, 2011","0.653187"
"Fast-food restaurants/1,000 pop, 2016","0.710387"
"Fast-food restaurants/1,000 pop (% change), 2011-16","8.757118"
"Full-service restaurants, 2011","892"
"Full-service restaurants, 2016","981"
"Full-service restaurants (% change), 2011-16","9.977578"
"Full-service restaurants/1,000 pop, 2011","0.621817"
"Full-service restaurants/1,000 pop, 2016","0.648269"
"Full-service restaurants/1,000 pop (% change), 2011-16","4.254058"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
