 
"State","CA"
"County","San Benito"
"Fast-food restaurants, 2011","26"
"Fast-food restaurants, 2016","28"
"Fast-food restaurants (% change), 2011-16","7.692308"
"Fast-food restaurants/1,000 pop, 2011","0.464004"
"Fast-food restaurants/1,000 pop, 2016","0.471897"
"Fast-food restaurants/1,000 pop (% change), 2011-16","1.701033"
"Full-service restaurants, 2011","28"
"Full-service restaurants, 2016","36"
"Full-service restaurants (% change), 2011-16","28.571429"
"Full-service restaurants/1,000 pop, 2011","0.499697"
"Full-service restaurants/1,000 pop, 2016","0.606725"
"Full-service restaurants/1,000 pop (% change), 2011-16","21.41858"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
