 
"State","CA"
"County","San Bernardino"
"Fast-food restaurants, 2011","1346"
"Fast-food restaurants, 2016","1526"
"Fast-food restaurants (% change), 2011-16","13.372957"
"Fast-food restaurants/1,000 pop, 2011","0.652644"
"Fast-food restaurants/1,000 pop, 2016","0.714041"
"Fast-food restaurants/1,000 pop (% change), 2011-16","9.407534"
"Full-service restaurants, 2011","953"
"Full-service restaurants, 2016","1101"
"Full-service restaurants (% change), 2011-16","15.529906"
"Full-service restaurants/1,000 pop, 2011","0.462087"
"Full-service restaurants/1,000 pop, 2016","0.515177"
"Full-service restaurants/1,000 pop (% change), 2011-16","11.489039"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
