 
"State","CA"
"County","San Diego"
"Fast-food restaurants, 2011","2348"
"Fast-food restaurants, 2016","2736"
"Fast-food restaurants (% change), 2011-16","16.524702"
"Fast-food restaurants/1,000 pop, 2011","0.747826"
"Fast-food restaurants/1,000 pop, 2016","0.824792"
"Fast-food restaurants/1,000 pop (% change), 2011-16","10.291937"
"Full-service restaurants, 2011","2355"
"Full-service restaurants, 2016","2593"
"Full-service restaurants (% change), 2011-16","10.106157"
"Full-service restaurants/1,000 pop, 2011","0.750056"
"Full-service restaurants/1,000 pop, 2016","0.781683"
"Full-service restaurants/1,000 pop (% change), 2011-16","4.216712"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
