 
"State","CA"
"County","San Francisco"
"Fast-food restaurants, 2011","753"
"Fast-food restaurants, 2016","958"
"Fast-food restaurants (% change), 2011-16","27.224436"
"Fast-food restaurants/1,000 pop, 2011","0.922462"
"Fast-food restaurants/1,000 pop, 2016","1.093479"
"Fast-food restaurants/1,000 pop (% change), 2011-16","18.539194"
"Full-service restaurants, 2011","1764"
"Full-service restaurants, 2016","1917"
"Full-service restaurants (% change), 2011-16","8.673469"
"Full-service restaurants/1,000 pop, 2011","2.160986"
"Full-service restaurants/1,000 pop, 2016","2.188099"
"Full-service restaurants/1,000 pop (% change), 2011-16","1.254648"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
