 
"State","CA"
"County","San Joaquin"
"Fast-food restaurants, 2011","401"
"Fast-food restaurants, 2016","466"
"Fast-food restaurants (% change), 2011-16","16.209476"
"Fast-food restaurants/1,000 pop, 2011","0.576919"
"Fast-food restaurants/1,000 pop, 2016","0.634623"
"Fast-food restaurants/1,000 pop (% change), 2011-16","10.002039"
"Full-service restaurants, 2011","352"
"Full-service restaurants, 2016","391"
"Full-service restaurants (% change), 2011-16","11.079545"
"Full-service restaurants/1,000 pop, 2011","0.506423"
"Full-service restaurants/1,000 pop, 2016","0.532484"
"Full-service restaurants/1,000 pop (% change), 2011-16","5.146128"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
