 
"State","CA"
"County","San Luis Obispo"
"Fast-food restaurants, 2011","219"
"Fast-food restaurants, 2016","234"
"Fast-food restaurants (% change), 2011-16","6.849315"
"Fast-food restaurants/1,000 pop, 2011","0.807671"
"Fast-food restaurants/1,000 pop, 2016","0.828958"
"Fast-food restaurants/1,000 pop (% change), 2011-16","2.635633"
"Full-service restaurants, 2011","312"
"Full-service restaurants, 2016","340"
"Full-service restaurants (% change), 2011-16","8.974359"
"Full-service restaurants/1,000 pop, 2011","1.150655"
"Full-service restaurants/1,000 pop, 2016","1.204469"
"Full-service restaurants/1,000 pop (% change), 2011-16","4.676874"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
