 
"State","CA"
"County","San Mateo"
"Fast-food restaurants, 2011","501"
"Fast-food restaurants, 2016","593"
"Fast-food restaurants (% change), 2011-16","18.363273"
"Fast-food restaurants/1,000 pop, 2011","0.687222"
"Fast-food restaurants/1,000 pop, 2016","0.770569"
"Fast-food restaurants/1,000 pop (% change), 2011-16","12.128123"
"Full-service restaurants, 2011","742"
"Full-service restaurants, 2016","828"
"Full-service restaurants (% change), 2011-16","11.590296"
"Full-service restaurants/1,000 pop, 2011","1.017802"
"Full-service restaurants/1,000 pop, 2016","1.075938"
"Full-service restaurants/1,000 pop (% change), 2011-16","5.711933"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
