 
"State","CA"
"County","Santa Barbara"
"Fast-food restaurants, 2011","286"
"Fast-food restaurants, 2016","344"
"Fast-food restaurants (% change), 2011-16","20.27972"
"Fast-food restaurants/1,000 pop, 2011","0.67127"
"Fast-food restaurants/1,000 pop, 2016","0.770789"
"Fast-food restaurants/1,000 pop (% change), 2011-16","14.825446"
"Full-service restaurants, 2011","388"
"Full-service restaurants, 2016","408"
"Full-service restaurants (% change), 2011-16","5.154639"
"Full-service restaurants/1,000 pop, 2011","0.910674"
"Full-service restaurants/1,000 pop, 2016","0.914191"
"Full-service restaurants/1,000 pop (% change), 2011-16","0.386235"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
