 
"State","CA"
"County","Santa Clara"
"Fast-food restaurants, 2011","1288"
"Fast-food restaurants, 2016","1544"
"Fast-food restaurants (% change), 2011-16","19.875776"
"Fast-food restaurants/1,000 pop, 2011","0.710107"
"Fast-food restaurants/1,000 pop, 2016","0.799348"
"Fast-food restaurants/1,000 pop (% change), 2011-16","12.567269"
"Full-service restaurants, 2011","1555"
"Full-service restaurants, 2016","1712"
"Full-service restaurants (% change), 2011-16","10.096463"
"Full-service restaurants/1,000 pop, 2011","0.85731"
"Full-service restaurants/1,000 pop, 2016","0.886323"
"Full-service restaurants/1,000 pop (% change), 2011-16","3.384174"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
