 
"State","CA"
"County","Santa Cruz"
"Fast-food restaurants, 2011","171"
"Fast-food restaurants, 2016","175"
"Fast-food restaurants (% change), 2011-16","2.339181"
"Fast-food restaurants/1,000 pop, 2011","0.645032"
"Fast-food restaurants/1,000 pop, 2016","0.63591"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-1.414178"
"Full-service restaurants, 2011","242"
"Full-service restaurants, 2016","278"
"Full-service restaurants (% change), 2011-16","14.876033"
"Full-service restaurants/1,000 pop, 2011","0.912853"
"Full-service restaurants/1,000 pop, 2016","1.010189"
"Full-service restaurants/1,000 pop (% change), 2011-16","10.662877"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
