 
"State","CA"
"County","Shasta"
"Fast-food restaurants, 2011","133"
"Fast-food restaurants, 2016","122"
"Fast-food restaurants (% change), 2011-16","-8.270677"
"Fast-food restaurants/1,000 pop, 2011","0.748895"
"Fast-food restaurants/1,000 pop, 2016","0.682426"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-8.875624"
"Full-service restaurants, 2011","112"
"Full-service restaurants, 2016","118"
"Full-service restaurants (% change), 2011-16","5.357143"
"Full-service restaurants/1,000 pop, 2011","0.630648"
"Full-service restaurants/1,000 pop, 2016","0.660051"
"Full-service restaurants/1,000 pop (% change), 2011-16","4.662321"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
