 
"State","CA"
"County","Sierra"
"Fast-food restaurants, 2011","1"
"Fast-food restaurants, 2016","1"
"Fast-food restaurants (% change), 2011-16","0"
"Fast-food restaurants/1,000 pop, 2011","0.322581"
"Fast-food restaurants/1,000 pop, 2016","0.337382"
"Fast-food restaurants/1,000 pop (% change), 2011-16","4.588394"
"Full-service restaurants, 2011","2"
"Full-service restaurants, 2016","4"
"Full-service restaurants (% change), 2011-16","100"
"Full-service restaurants/1,000 pop, 2011","0.645161"
"Full-service restaurants/1,000 pop, 2016","1.349528"
"Full-service restaurants/1,000 pop (% change), 2011-16","109.176788"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
