 
"State","CA"
"County","Siskiyou"
"Fast-food restaurants, 2011","29"
"Fast-food restaurants, 2016","28"
"Fast-food restaurants (% change), 2011-16","-3.448276"
"Fast-food restaurants/1,000 pop, 2011","0.65002"
"Fast-food restaurants/1,000 pop, 2016","0.643515"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-1.000698"
"Full-service restaurants, 2011","50"
"Full-service restaurants, 2016","45"
"Full-service restaurants (% change), 2011-16","-10"
"Full-service restaurants/1,000 pop, 2011","1.120724"
"Full-service restaurants/1,000 pop, 2016","1.034221"
"Full-service restaurants/1,000 pop (% change), 2011-16","-7.718508"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
