 
"State","CA"
"County","Solano"
"Fast-food restaurants, 2011","270"
"Fast-food restaurants, 2016","290"
"Fast-food restaurants (% change), 2011-16","7.407407"
"Fast-food restaurants/1,000 pop, 2011","0.648023"
"Fast-food restaurants/1,000 pop, 2016","0.658615"
"Fast-food restaurants/1,000 pop (% change), 2011-16","1.634526"
"Full-service restaurants, 2011","243"
"Full-service restaurants, 2016","265"
"Full-service restaurants (% change), 2011-16","9.053498"
"Full-service restaurants/1,000 pop, 2011","0.583221"
"Full-service restaurants/1,000 pop, 2016","0.601838"
"Full-service restaurants/1,000 pop (% change), 2011-16","3.192143"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
