 
"State","CA"
"County","Sonoma"
"Fast-food restaurants, 2011","273"
"Fast-food restaurants, 2016","291"
"Fast-food restaurants (% change), 2011-16","6.593407"
"Fast-food restaurants/1,000 pop, 2011","0.55963"
"Fast-food restaurants/1,000 pop, 2016","0.577572"
"Fast-food restaurants/1,000 pop (% change), 2011-16","3.20604"
"Full-service restaurants, 2011","488"
"Full-service restaurants, 2016","523"
"Full-service restaurants (% change), 2011-16","7.172131"
"Full-service restaurants/1,000 pop, 2011","1.000365"
"Full-service restaurants/1,000 pop, 2016","1.038042"
"Full-service restaurants/1,000 pop (% change), 2011-16","3.766374"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
