 
"State","CA"
"County","Stanislaus"
"Fast-food restaurants, 2011","327"
"Fast-food restaurants, 2016","366"
"Fast-food restaurants (% change), 2011-16","11.926606"
"Fast-food restaurants/1,000 pop, 2011","0.631233"
"Fast-food restaurants/1,000 pop, 2016","0.676084"
"Fast-food restaurants/1,000 pop (% change), 2011-16","7.105322"
"Full-service restaurants, 2011","255"
"Full-service restaurants, 2016","293"
"Full-service restaurants (% change), 2011-16","14.901961"
"Full-service restaurants/1,000 pop, 2011","0.492246"
"Full-service restaurants/1,000 pop, 2016","0.541236"
"Full-service restaurants/1,000 pop (% change), 2011-16","9.952512"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
