 
"State","CA"
"County","Sutter"
"Fast-food restaurants, 2011","51"
"Fast-food restaurants, 2016","59"
"Fast-food restaurants (% change), 2011-16","15.686275"
"Fast-food restaurants/1,000 pop, 2011","0.53934"
"Fast-food restaurants/1,000 pop, 2016","0.614212"
"Fast-food restaurants/1,000 pop (% change), 2011-16","13.882177"
"Full-service restaurants, 2011","51"
"Full-service restaurants, 2016","54"
"Full-service restaurants (% change), 2011-16","5.882353"
"Full-service restaurants/1,000 pop, 2011","0.53934"
"Full-service restaurants/1,000 pop, 2016","0.56216"
"Full-service restaurants/1,000 pop (% change), 2011-16","4.231145"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
