 
"State","CA"
"County","Tehama"
"Fast-food restaurants, 2011","34"
"Fast-food restaurants, 2016","33"
"Fast-food restaurants (% change), 2011-16","-2.941176"
"Fast-food restaurants/1,000 pop, 2011","0.536726"
"Fast-food restaurants/1,000 pop, 2016","0.520144"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-3.08957"
"Full-service restaurants, 2011","31"
"Full-service restaurants, 2016","40"
"Full-service restaurants (% change), 2011-16","29.032258"
"Full-service restaurants/1,000 pop, 2011","0.489368"
"Full-service restaurants/1,000 pop, 2016","0.630477"
"Full-service restaurants/1,000 pop (% change), 2011-16","28.83498"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
