 
"State","CA"
"County","Trinity"
"Fast-food restaurants, 2011","12"
"Fast-food restaurants, 2016","6"
"Fast-food restaurants (% change), 2011-16","-50"
"Fast-food restaurants/1,000 pop, 2011","0.877385"
"Fast-food restaurants/1,000 pop, 2016","0.467326"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-46.736506"
"Full-service restaurants, 2011","9"
"Full-service restaurants, 2016","13"
"Full-service restaurants (% change), 2011-16","44.444444"
"Full-service restaurants/1,000 pop, 2011","0.658039"
"Full-service restaurants/1,000 pop, 2016","1.01254"
"Full-service restaurants/1,000 pop (% change), 2011-16","53.872316"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
