 
"State","CA"
"County","Tulare"
"Fast-food restaurants, 2011","215"
"Fast-food restaurants, 2016","264"
"Fast-food restaurants (% change), 2011-16","22.790698"
"Fast-food restaurants/1,000 pop, 2011","0.480599"
"Fast-food restaurants/1,000 pop, 2016","0.572873"
"Fast-food restaurants/1,000 pop (% change), 2011-16","19.199716"
"Full-service restaurants, 2011","210"
"Full-service restaurants, 2016","212"
"Full-service restaurants (% change), 2011-16","0.952381"
"Full-service restaurants/1,000 pop, 2011","0.469423"
"Full-service restaurants/1,000 pop, 2016","0.460035"
"Full-service restaurants/1,000 pop (% change), 2011-16","-1.999945"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
