 
"State","CA"
"County","Tuolumne"
"Fast-food restaurants, 2011","31"
"Fast-food restaurants, 2016","26"
"Fast-food restaurants (% change), 2011-16","-16.129032"
"Fast-food restaurants/1,000 pop, 2011","0.565363"
"Fast-food restaurants/1,000 pop, 2016","0.483388"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-14.499546"
"Full-service restaurants, 2011","69"
"Full-service restaurants, 2016","56"
"Full-service restaurants (% change), 2011-16","-18.84058"
"Full-service restaurants/1,000 pop, 2011","1.258389"
"Full-service restaurants/1,000 pop, 2016","1.041144"
"Full-service restaurants/1,000 pop (% change), 2011-16","-17.263775"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
