 
"State","CA"
"County","Ventura"
"Fast-food restaurants, 2011","553"
"Fast-food restaurants, 2016","634"
"Fast-food restaurants (% change), 2011-16","14.647378"
"Fast-food restaurants/1,000 pop, 2011","0.665471"
"Fast-food restaurants/1,000 pop, 2016","0.744922"
"Fast-food restaurants/1,000 pop (% change), 2011-16","11.938988"
"Full-service restaurants, 2011","552"
"Full-service restaurants, 2016","595"
"Full-service restaurants (% change), 2011-16","7.789855"
"Full-service restaurants/1,000 pop, 2011","0.664268"
"Full-service restaurants/1,000 pop, 2016","0.699099"
"Full-service restaurants/1,000 pop (% change), 2011-16","5.243465"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
