 
"State","CA"
"County","Yolo"
"Fast-food restaurants, 2011","138"
"Fast-food restaurants, 2016","152"
"Fast-food restaurants (% change), 2011-16","10.144928"
"Fast-food restaurants/1,000 pop, 2011","0.682891"
"Fast-food restaurants/1,000 pop, 2016","0.703837"
"Fast-food restaurants/1,000 pop (% change), 2011-16","3.067282"
"Full-service restaurants, 2011","124"
"Full-service restaurants, 2016","144"
"Full-service restaurants (% change), 2011-16","16.129032"
"Full-service restaurants/1,000 pop, 2011","0.613612"
"Full-service restaurants/1,000 pop, 2016","0.666793"
"Full-service restaurants/1,000 pop (% change), 2011-16","8.666863"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
