 
"State","CA"
"County","Yuba"
"Fast-food restaurants, 2011","31"
"Fast-food restaurants, 2016","29"
"Fast-food restaurants (% change), 2011-16","-6.451613"
"Fast-food restaurants/1,000 pop, 2011","0.427521"
"Fast-food restaurants/1,000 pop, 2016","0.385715"
"Fast-food restaurants/1,000 pop (% change), 2011-16","-9.778718"
"Full-service restaurants, 2011","23"
"Full-service restaurants, 2016","27"
"Full-service restaurants (% change), 2011-16","17.391304"
"Full-service restaurants/1,000 pop, 2011","0.317193"
"Full-service restaurants/1,000 pop, 2016","0.359114"
"Full-service restaurants/1,000 pop (% change), 2011-16","13.216212"
"Expenditures per capita, fast food, 2007*","761.447125"
"Expenditures per capita, fast food, 2012*","642.487457"
"Expenditures per capita, restaurants, 2007*","755.587505"
"Expenditures per capita, restaurants, 2012*","750.318646"
