County,"Fast-food restaurants, 2011","Fast-food restaurants, 2016","Fast-food restaurants (% change), 2011-16","Fast-food restaurants/10,000 pop, 2011","Fast-food restaurants/10,000 pop, 2016","Fast-food restaurants/1,000 pop (% change), 2011-16",Obesity 2011 %,Obesity 2016 %,New Diabetes per 1k : 2011,New Diabetes per 1k : 2016,Diagnosed Diabetes 2011 %,Diagnosed Diabetes 2016 %
Alameda,1090,1293,18.623853,7.11388,7.82102,9.940291,20.2,19.2,7.3,5.6,7.7,6.7
Alpine,2,0,-100.0,18.29826,0.0,-100.0,22.6,20.9,8.4,4.1,8.0,4.6
Amador,12,21,75.0,3.1966799999999997,5.604030000000001,75.308222,24.8,29.8,8.3,10.1,7.8,10.4
Butte,147,158,7.482993,6.68173,6.97495,4.388394,24.2,27.2,9.0,8.0,8.6,8.7
Calaveras,26,30,15.384615,5.75692,6.62032,14.997581,23.9,30.4,7.6,7.9,7.4,8.3
Colusa,16,8,-50.0,7.48853,3.696,-50.644490999999995,22.0,40.6,8.0,24.2,7.8,20.1
Contra Costa,599,701,17.028381,5.6181800000000015,6.15644,9.580732000000001,22.2,23.8,7.6,7.0,7.6,7.8
Del Norte,15,10,-33.333333,5.2729599999999985,3.64299,-30.911960999999998,25.2,34.4,8.4,8.5,8.0,8.9
El Dorado,97,110,13.402061999999999,5.3598599999999985,5.90534,10.177258,20.5,21.5,6.9,5.3,6.7,6.2
Fresno,569,634,11.42355,6.0508700000000015,6.4724699999999995,6.967445,28.3,31.4,9.5,10.2,9.1,10.7
Glenn,12,15,25.0,4.26136,5.36346,25.862624,25.7,32.1,7.9,7.9,7.6,8.5
Humboldt,95,97,2.105263,7.0246,7.108879999999999,1.199816,25.4,28.9,8.1,7.1,7.8,7.9
Imperial,81,103,27.160494,4.59817,5.6912400000000005,23.771749,21.9,34.6,8.2,8.2,8.0,9.0
Inyo,13,15,15.384615,7.064830000000001,8.31762,17.732744,22.5,27.4,8.4,6.1,8.0,6.9
Kern,528,603,14.204545000000001,6.220790000000001,6.812899999999999,9.518227,27.7,32.2,10.0,8.9,9.3,9.5
Kings,90,89,-1.111111,5.919879999999999,5.94137,0.36301,23.6,29.4,9.8,10.8,9.4,11.1
Lake,30,33,10.0,4.667590000000001,5.16028,10.555589999999999,25.9,24.5,8.9,9.2,8.5,9.8
Lassen,13,15,15.384615,3.79629,4.84747,27.689721999999996,23.8,40.9,8.9,23.4,8.4,19.4
Los Angeles,7211,8264,14.602689999999999,7.29415,8.14142,11.615733,21.1,21.4,7.7,6.9,8.1,8.1
Madera,75,78,4.0,4.93824,5.03336,1.9262549999999998,27.4,35.8,9.0,11.6,8.7,11.6
Marin,171,189,10.526316,6.69263,7.22665,7.979239,15.3,15.7,5.3,2.9,5.4,3.8
Mariposa,9,8,-11.111111,4.95213,4.565169999999999,-7.814045,23.7,22.5,8.2,4.1,7.8,4.8
Mendocino,52,54,3.8461540000000003,5.9519,6.16375,3.5593019999999997,23.9,32.2,7.0,4.9,6.8,5.8
Merced,127,143,12.598425,4.89201,5.3184,8.715995,30.9,28.3,8.8,14.6,8.5,14.2
Modoc,7,3,-57.14285699999999,7.35681,3.3553300000000004,-54.391487,23.7,27.7,7.2,17.5,7.1,15.4
Mono,18,21,16.666667,12.56194,14.892560000000001,18.553058,21.2,24.6,6.9,4.5,6.8,5.1
Monterey,246,264,7.317073,5.84098,6.050009999999999,3.57861,21.9,27.6,6.7,7.3,6.7,8.0
Napa,76,82,7.894736999999999,5.51104,5.7889599999999986,5.042914,24.0,23.2,6.5,6.2,6.5,7.2
Nevada,53,65,22.641509,5.36905,6.5621399999999985,22.22178,17.3,21.5,5.1,3.2,5.2,4.1
Orange,2575,3025,17.475728,8.43304,9.51945,12.882804,20.5,19.0,7.6,6.8,7.4,7.8
Placer,274,334,21.89781,7.6870199999999995,8.79545,14.419435,22.3,20.3,6.5,4.2,6.4,5.2
Plumas,13,9,-30.769231,6.59363,4.79055,-27.345832,24.3,26.0,7.3,7.2,7.2,7.8
Riverside,1331,1541,15.777610999999998,5.95289,6.4571000000000005,8.469984,25.8,27.0,9.9,7.8,9.2,8.7
Sacramento,937,1075,14.727854999999998,6.53187,7.10387,8.757118,26.6,28.7,8.8,7.8,8.6,8.9
San Benito,26,28,7.692308000000001,4.64004,4.7189700000000006,1.7010330000000002,22.9,31.9,7.2,7.8,7.1,8.4
San Bernardino,1346,1526,13.372957000000001,6.52644,7.14041,9.407534,27.4,28.6,9.7,8.5,9.4,9.4
San Diego,2348,2736,16.524701999999998,7.478260000000001,8.24792,10.291936999999999,22.5,20.2,7.9,6.0,7.6,6.9
San Francisco,753,958,27.224435999999997,9.22462,10.93479,18.539194000000002,15.3,18.5,6.2,5.6,7.0,6.7
San Joaquin,401,466,16.209476000000002,5.76919,6.34623,10.002039,30.1,32.5,9.8,9.3,9.5,10.0
San Luis Obispo,219,234,6.849315,8.07671,8.289579999999999,2.6356330000000003,20.0,25.3,6.2,6.0,6.1,6.9
San Mateo,501,593,18.363273,6.8722199999999996,7.70569,12.128123,20.5,20.7,6.9,5.8,7.0,6.8
Santa Barbara,286,344,20.27972,6.7127,7.707889999999999,14.825446,19.3,24.6,6.3,7.4,6.3,8.2
Santa Clara,1288,1544,19.875776000000002,7.10107,7.99348,12.567269,20.2,19.2,7.3,6.1,7.5,7.3
Santa Cruz,171,175,2.339181,6.4503200000000005,6.3591,-1.4141780000000002,21.2,18.6,6.1,5.2,6.1,6.2
Shasta,133,122,-8.270677000000001,7.48895,6.824260000000001,-8.875624,27.1,23.3,9.2,8.3,8.7,9.0
