County,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Employed Persons Over 16,Unemployed Persons Over 16
Alameda,79831.0,1605217.0,37.2,39042.0,189590.0,864007.0,434239.0
Alpine,62375.0,1184.0,42.8,26783.0,221.0,468.0,499.0
Amador,57032.0,36963.0,50.3,27496.0,3684.0,14540.0,17341.0
Butte,44366.0,223877.0,36.9,25077.0,46456.0,102069.0,81862.0
Calaveras,53502.0,44787.0,51.2,30577.0,5641.0,18329.0,19512.0
Colusa,54946.0,21361.0,34.7,25745.0,2859.0,10049.0,5974.0
Contra Costa,82881.0,1107925.0,39.1,40792.0,111922.0,565656.0,311901.0
Del Norte,42363.0,27628.0,38.1,20282.0,5219.0,9978.0,12388.0
El Dorado,72586.0,183000.0,45.2,37089.0,17839.0,88875.0,60878.0
Fresno,45963.0,963160.0,31.6,21057.0,254872.0,432698.0,281602.0
Glenn,41699.0,27976.0,36.9,20362.0,5578.0,11808.0,9447.0
Humboldt,42685.0,135182.0,37.6,24038.0,27641.0,65953.0,45807.0
Imperial,42560.0,178807.0,32.2,16311.0,40552.0,71026.0,62144.0
Inyo,47278.0,18326.0,45.4,28678.0,1905.0,8871.0,6133.0
Kern,49788.0,871337.0,31.2,21094.0,194354.0,377008.0,265166.0
Kings,47241.0,150261.0,31.4,19123.0,28661.0,63131.0,49890.0
Lake,36132.0,64076.0,45.8,21799.0,15561.0,25986.0,26554.0
Lassen,51457.0,31945.0,36.4,20072.0,3558.0,10030.0,17162.0
Los Angeles,57952.0,10057155.0,35.8,29301.0,1764081.0,5173061.0,2863016.0
Madera,45742.0,153366.0,33.5,19021.0,32043.0,59414.0,56066.0
Marin,100310.0,259358.0,45.7,63608.0,20445.0,137609.0,74106.0
Mariposa,49265.0,17645.0,50.6,27832.0,2849.0,7953.0,7135.0
Mendocino,43510.0,87409.0,42.3,25278.0,17366.0,41383.0,29268.0
Merced,44397.0,265001.0,30.6,19130.0,62661.0,115412.0,78827.0
Modoc,41194.0,9033.0,47.1,21899.0,1483.0,3790.0,3695.0
Mono,58937.0,14051.0,38.9,31059.0,1222.0,8373.0,3148.0
Monterey,60889.0,430201.0,33.7,25947.0,66289.0,199749.0,128298.0
Napa,74609.0,140823.0,40.7,38057.0,12086.0,74844.0,39023.0
Nevada,57429.0,98639.0,49.5,33385.0,11835.0,45444.0,37998.0
Orange,78145.0,3132211.0,37.3,35939.0,385556.0,1645577.0,851584.0
Placer,76926.0,370571.0,41.5,37914.0,31932.0,179960.0,115805.0
Plumas,50125.0,18754.0,51.7,31292.0,2346.0,8297.0,7736.0
Riverside,57972.0,2323892.0,34.8,24443.0,376689.0,1071927.0,710825.0
Sacramento,57509.0,1479300.0,35.7,28292.0,260877.0,724073.0,435505.0
San Benito,73814.0,58051.0,35.1,27848.0,6224.0,29883.0,14350.0
San Bernardino,54469.0,2106754.0,32.7,21857.0,392195.0,962592.0,635920.0
San Diego,66529.0,3253356.0,35.3,32482.0,444024.0,1697309.0,910566.0
San Francisco,87701.0,850282.0,38.4,55567.0,104180.0,521164.0,225670.0
San Joaquin,55045.0,714860.0,33.7,23477.0,124587.0,326928.0,211273.0
San Luis Obispo,64014.0,278680.0,39.0,32335.0,37208.0,137689.0,95930.0
San Mateo,98546.0,754748.0,39.5,50262.0,57490.0,419603.0,189735.0
Santa Barbara,65161.0,439395.0,33.7,31098.0,66880.0,223977.0,127252.0
Santa Clara,101173.0,1885056.0,36.8,46034.0,172213.0,1005037.0,491168.0
Santa Cruz,70088.0,270931.0,37.0,34732.0,39211.0,142697.0,80062.0
Shasta,45582.0,179228.0,42.3,25094.0,30945.0,77639.0,67411.0
Sierra,43984.0,2931.0,55.2,31873.0,329.0,1275.0,1262.0
Siskiyou,38524.0,43668.0,47.9,23542.0,9524.0,18425.0,17450.0
Solano,69227.0,429596.0,37.5,30251.0,53265.0,216959.0,125338.0
Sonoma,66833.0,497776.0,41.2,35639.0,55095.0,263225.0,143672.0
Stanislaus,51591.0,530561.0,33.8,22915.0,95739.0,246661.0,154736.0
Sutter,52943.0,95406.0,35.6,24335.0,16535.0,43753.0,29263.0
Tehama,40687.0,63015.0,40.6,21521.0,13363.0,26450.0,23185.0
Trinity,35270.0,13180.0,50.6,22387.0,2607.0,5317.0,5948.0
Tulare,42789.0,455769.0,30.4,18257.0,127130.0,191722.0,135830.0
Tuolumne,50731.0,53864.0,48.2,29431.0,7176.0,22167.0,23843.0
Ventura,78593.0,843110.0,37.3,34331.0,88486.0,439178.0,223522.0
Yolo,57663.0,209671.0,30.9,28996.0,38898.0,102202.0,67330.0
Yuba,48739.0,73897.0,32.2,21418.0,15080.0,32120.0,23176.0
