County,Household Income 2011,Population 2011,Median Age 2011,Per Capita Income 2011,Poverty Count 2011,Employed Persons Over 16 2011,Unemployed Persons Over 16 2011,Household Income 2016,Population 2016,Median Age 2016,Per Capita Income 2016,Poverty Count 2016,Employed Persons Over 16 2016,Unemployed Persons Over 16 2016,"Fast-food restaurants, 2011","Fast-food restaurants, 2016","Fast-food restaurants (% change), 2011-16","Fast-food restaurants/10,000 pop, 2011","Fast-food restaurants/10,000 pop, 2016","Fast-food restaurants/1,000 pop (% change), 2011-16",Obesity 2011 %,Obesity 2016 %,New Diabetes per 1k : 2011,New Diabetes per 1k : 2016,Diagnosed Diabetes 2011 %,Diagnosed Diabetes 2016 %
Alameda,70821.0,1494876.0,36.4,34937.0,173156.0,792734.0,401593.0,79831.0,1605217.0,37.2,39042.0,189590.0,864007.0,434239.0,1090,1293,18.623853,7.11388,7.82102,9.940291,20.2,19.2,7.3,5.6,7.7,6.7
Alpine,59018.0,1167.0,40.4,29576.0,170.0,581.0,351.0,62375.0,1184.0,42.8,26783.0,221.0,468.0,499.0,2,0,-100.0,18.29826,0.0,-100.0,22.6,20.9,8.4,4.1,8.0,4.6
Amador,56180.0,38244.0,48.0,28030.0,3372.0,15650.0,17192.0,57032.0,36963.0,50.3,27496.0,3684.0,14540.0,17341.0,12,21,75.0,3.19668,5.604030000000002,75.308222,24.8,29.8,8.3,10.1,7.8,10.4
Butte,42971.0,219309.0,37.2,23431.0,42283.0,101633.0,77585.0,44366.0,223877.0,36.9,25077.0,46456.0,102069.0,81862.0,147,158,7.482993,6.68173,6.97495,4.388394,24.2,27.2,9.0,8.0,8.6,8.7
Calaveras,55256.0,45794.0,49.0,28667.0,3751.0,20270.0,17987.0,53502.0,44787.0,51.2,30577.0,5641.0,18329.0,19512.0,26,30,15.384615,5.75692,6.6203199999999995,14.997581,23.9,30.4,7.6,7.9,7.4,8.3
Colusa,49558.0,21297.0,33.5,21271.0,3029.0,10283.0,5348.0,54946.0,21361.0,34.7,25745.0,2859.0,10049.0,5974.0,16,8,-50.0,7.48853,3.696,-50.644491,22.0,40.6,8.0,24.2,7.8,20.1
Contra Costa,79135.0,1037817.0,38.3,38141.0,101562.0,534819.0,275053.0,82881.0,1107925.0,39.1,40792.0,111922.0,565656.0,311901.0,599,701,17.028381,5.6181800000000015,6.15644,9.580732,22.2,23.8,7.6,7.0,7.6,7.8
Del Norte,37588.0,28561.0,38.9,19247.0,5313.0,10375.0,12614.0,42363.0,27628.0,38.1,20282.0,5219.0,9978.0,12388.0,15,10,-33.333333,5.272959999999999,3.64299,-30.911961,25.2,34.4,8.4,8.5,8.0,8.9
El Dorado,68815.0,179878.0,43.1,34385.0,15010.0,92466.0,51492.0,72586.0,183000.0,45.2,37089.0,17839.0,88875.0,60878.0,97,110,13.402062,5.359859999999999,5.90534,10.177258,20.5,21.5,6.9,5.3,6.7,6.2
Fresno,46903.0,920623.0,30.6,20638.0,211140.0,421989.0,255721.0,45963.0,963160.0,31.6,21057.0,254872.0,432698.0,281602.0,569,634,11.42355,6.0508700000000015,6.47247,6.967445,28.3,31.4,9.5,10.2,9.1,10.7
Glenn,43239.0,28027.0,35.3,21254.0,5166.0,12348.0,8810.0,41699.0,27976.0,36.9,20362.0,5578.0,11808.0,9447.0,12,15,25.0,4.26136,5.36346,25.862624,25.7,32.1,7.9,7.9,7.6,8.5
Humboldt,40376.0,133585.0,37.3,24209.0,23833.0,66048.0,44019.0,42685.0,135182.0,37.6,24038.0,27641.0,65953.0,45807.0,95,97,2.105263,7.0246,7.108879999999999,1.199816,25.4,28.9,8.1,7.1,7.8,7.9
Imperial,39402.0,171343.0,31.8,16593.0,37463.0,69690.0,57347.0,42560.0,178807.0,32.2,16311.0,40552.0,71026.0,62144.0,81,103,27.160494,4.59817,5.6912400000000005,23.771749,21.9,34.6,8.2,8.2,8.0,9.0
Inyo,49571.0,18457.0,45.1,27532.0,2127.0,9401.0,5612.0,47278.0,18326.0,45.4,28678.0,1905.0,8871.0,6133.0,13,15,15.384615,7.0648300000000015,8.31762,17.732744,22.5,27.4,8.4,6.1,8.0,6.9
Kern,48021.0,829254.0,30.6,20167.0,169635.0,360445.0,246501.0,49788.0,871337.0,31.2,21094.0,194354.0,377008.0,265166.0,528,603,14.204545,6.220790000000001,6.812899999999999,9.518227,27.7,32.2,10.0,8.9,9.3,9.5
Kings,48838.0,152335.0,31.0,18296.0,26042.0,65763.0,48917.0,47241.0,150261.0,31.4,19123.0,28661.0,63131.0,49890.0,90,89,-1.111111,5.919879999999999,5.94137,0.36301,23.6,29.4,9.8,10.8,9.4,11.1
Lake,39525.0,64392.0,44.3,22238.0,13543.0,28321.0,23876.0,36132.0,64076.0,45.8,21799.0,15561.0,25986.0,26554.0,30,33,10.0,4.6675900000000015,5.16028,10.55559,25.9,24.5,8.9,9.2,8.5,9.8
Lassen,52484.0,35001.0,37.0,19339.0,3562.0,11635.0,17976.0,51457.0,31945.0,36.4,20072.0,3558.0,10030.0,17162.0,13,15,15.384615,3.79629,4.8474699999999995,27.689722,23.8,40.9,8.9,23.4,8.4,19.4
Los Angeles,56266.0,9787747.0,34.6,27954.0,1566066.0,4996242.0,2667242.0,57952.0,10057155.0,35.8,29301.0,1764081.0,5173061.0,2863016.0,7211,8264,14.60269,7.29415,8.14142,11.615733,21.1,21.4,7.7,6.9,8.1,8.1
Madera,47724.0,149611.0,33.2,18817.0,27777.0,59555.0,52459.0,45742.0,153366.0,33.5,19021.0,32043.0,59414.0,56066.0,75,78,4.0,4.93824,5.03336,1.926255,27.4,35.8,9.0,11.6,8.7,11.6
Marin,89605.0,250666.0,44.3,54605.0,17502.0,133482.0,71192.0,100310.0,259358.0,45.7,63608.0,20445.0,137609.0,74106.0,171,189,10.526316,6.69263,7.22665,7.979239,15.3,15.7,5.3,2.9,5.4,3.8
Mariposa,49174.0,18290.0,48.4,27209.0,2611.0,8754.0,6649.0,49265.0,17645.0,50.6,27832.0,2849.0,7953.0,7135.0,9,8,-11.111111,4.95213,4.565169999999998,-7.814045,23.7,22.5,8.2,4.1,7.8,4.8
Mendocino,44527.0,87525.0,41.4,23585.0,15298.0,43750.0,26477.0,43510.0,87409.0,42.3,25278.0,17366.0,41383.0,29268.0,52,54,3.846154,5.9519,6.16375,3.559302,23.9,32.2,7.0,4.9,6.8,5.8
Merced,43945.0,253606.0,29.5,18304.0,57461.0,111072.0,71235.0,44397.0,265001.0,30.6,19130.0,62661.0,115412.0,78827.0,127,143,12.598425,4.89201,5.3184,8.715995,30.9,28.3,8.8,14.6,8.5,14.2
Modoc,35402.0,9587.0,46.5,20769.0,1816.0,3942.0,3805.0,41194.0,9033.0,47.1,21899.0,1483.0,3790.0,3695.0,7,3,-57.14285699999999,7.35681,3.3553300000000004,-54.391487,23.7,27.7,7.2,17.5,7.1,15.4
Mono,60469.0,14016.0,36.5,28789.0,1554.0,8855.0,2424.0,58937.0,14051.0,38.9,31059.0,1222.0,8373.0,3148.0,18,21,16.666667,12.56194,14.89256,18.553058,21.2,24.6,6.9,4.5,6.8,5.1
Monterey,59737.0,411385.0,32.8,25508.0,59315.0,202571.0,111189.0,60889.0,430201.0,33.7,25947.0,66289.0,199749.0,128298.0,246,264,7.317073,5.84098,6.0500099999999986,3.57861,21.9,27.6,6.7,7.3,6.7,8.0
Napa,68641.0,135377.0,39.5,35309.0,12906.0,70689.0,37214.0,74609.0,140823.0,40.7,38057.0,12086.0,74844.0,39023.0,76,82,7.894736999999999,5.51104,5.788959999999999,5.042914,24.0,23.2,6.5,6.2,6.5,7.2
Nevada,58077.0,98392.0,47.3,31607.0,10072.0,48812.0,33069.0,57429.0,98639.0,49.5,33385.0,11835.0,45444.0,37998.0,53,65,22.641509,5.36905,6.562139999999999,22.22178,17.3,21.5,5.1,3.2,5.2,4.1
Orange,75762.0,2989948.0,36.0,34416.0,320473.0,1574209.0,769559.0,78145.0,3132211.0,37.3,35939.0,385556.0,1645577.0,851584.0,2575,3025,17.475728,8.43304,9.51945,12.882804,20.5,19.0,7.6,6.8,7.4,7.8
Placer,74645.0,343554.0,40.0,35583.0,24576.0,172232.0,97360.0,76926.0,370571.0,41.5,37914.0,31932.0,179960.0,115805.0,274,334,21.89781,7.687019999999999,8.79545,14.419435,22.3,20.3,6.5,4.2,6.4,5.2
Plumas,44151.0,20192.0,49.0,28104.0,2680.0,9272.0,7592.0,50125.0,18754.0,51.7,31292.0,2346.0,8297.0,7736.0,13,9,-30.769231,6.59363,4.79055,-27.345832,24.3,26.0,7.3,7.2,7.2,7.8
Riverside,58365.0,2154844.0,33.5,24516.0,301763.0,1001772.0,610872.0,57972.0,2323892.0,34.8,24443.0,376689.0,1071927.0,710825.0,1331,1541,15.777610999999998,5.95289,6.4571000000000005,8.469984,25.8,27.0,9.9,7.8,9.2,8.7
Sacramento,56553.0,1408480.0,34.7,27180.0,205715.0,705306.0,383088.0,57509.0,1479300.0,35.7,28292.0,260877.0,724073.0,435505.0,937,1075,14.727854999999998,6.53187,7.10387,8.757118,26.6,28.7,8.8,7.8,8.6,8.9
San Benito,65570.0,54873.0,33.9,26300.0,6179.0,28061.0,12665.0,73814.0,58051.0,35.1,27848.0,6224.0,29883.0,14350.0,26,28,7.6923080000000015,4.64004,4.7189700000000006,1.7010330000000002,22.9,31.9,7.2,7.8,7.1,8.4
San Bernardino,55853.0,2023452.0,31.4,21932.0,317059.0,949657.0,550919.0,54469.0,2106754.0,32.7,21857.0,392195.0,962592.0,635920.0,1346,1526,13.372957,6.52644,7.14041,9.407534,27.4,28.6,9.7,8.5,9.4,9.4
San Diego,63857.0,3060849.0,34.6,30955.0,387565.0,1595751.0,830643.0,66529.0,3253356.0,35.3,32482.0,444024.0,1697309.0,910566.0,2348,2736,16.524701999999998,7.4782600000000015,8.24792,10.291937,22.5,20.2,7.9,6.0,7.6,6.9
San Francisco,72947.0,797983.0,38.4,46777.0,96801.0,484137.0,218389.0,87701.0,850282.0,38.4,55567.0,104180.0,521164.0,225670.0,753,958,27.224436,9.22462,10.93479,18.539194,15.3,18.5,6.2,5.6,7.0,6.7
San Joaquin,53764.0,680277.0,32.5,22857.0,110748.0,314769.0,188829.0,55045.0,714860.0,33.7,23477.0,124587.0,326928.0,211273.0,401,466,16.209476000000002,5.76919,6.34623,10.002039,30.1,32.5,9.8,9.3,9.5,10.0
San Luis Obispo,58630.0,267871.0,39.1,30204.0,33330.0,132969.0,90858.0,64014.0,278680.0,39.0,32335.0,37208.0,137689.0,95930.0,219,234,6.849315,8.07671,8.289579999999999,2.6356330000000003,20.0,25.3,6.2,6.0,6.1,6.9
San Mateo,87633.0,711622.0,39.2,45346.0,48891.0,391664.0,179122.0,98546.0,754748.0,39.5,50262.0,57490.0,419603.0,189735.0,501,593,18.363273,6.87222,7.70569,12.128123,20.5,20.7,6.9,5.8,7.0,6.8
Santa Barbara,61896.0,419793.0,33.4,30330.0,57170.0,215436.0,119738.0,65161.0,439395.0,33.7,31098.0,66880.0,223977.0,127252.0,286,344,20.27972,6.7127,7.707889999999999,14.825446,19.3,24.6,6.3,7.4,6.3,8.2
Santa Clara,89064.0,1762754.0,36.0,40698.0,160396.0,931510.0,451574.0,101173.0,1885056.0,36.8,46034.0,172213.0,1005037.0,491168.0,1288,1544,19.875776,7.10107,7.99348,12.567269,20.2,19.2,7.3,6.1,7.5,7.3
Santa Cruz,66030.0,259402.0,36.7,32975.0,34382.0,139712.0,71564.0,70088.0,270931.0,37.0,34732.0,39211.0,142697.0,80062.0,171,175,2.339181,6.4503200000000005,6.3591,-1.4141780000000002,21.2,18.6,6.1,5.2,6.1,6.2
Shasta,44058.0,177231.0,41.6,23691.0,30023.0,79497.0,62743.0,45582.0,179228.0,42.3,25094.0,30945.0,77639.0,67411.0,133,122,-8.270677000000001,7.48895,6.8242600000000015,-8.875624,27.1,23.3,9.2,8.3,8.7,9.0
Sierra,50308.0,3277.0,51.5,26137.0,540.0,1465.0,1341.0,43984.0,2931.0,55.2,31873.0,329.0,1275.0,1262.0,1,1,0.0,3.22581,3.3738200000000003,4.588394,22.5,23.3,7.4,4.0,7.2,4.5
Siskiyou,37865.0,44687.0,46.9,22335.0,8085.0,19576.0,16980.0,38524.0,43668.0,47.9,23542.0,9524.0,18425.0,17450.0,29,28,-3.4482760000000003,6.5002,6.4351499999999975,-1.000698,21.1,31.9,6.7,9.9,6.7,10.3
Solano,69914.0,411620.0,36.7,29367.0,42525.0,210594.0,111698.0,69227.0,429596.0,37.5,30251.0,53265.0,216959.0,125338.0,270,290,7.407407000000001,6.4802300000000015,6.58615,1.634526,26.1,30.0,10.4,8.3,10.1,9.2
Sonoma,64343.0,478551.0,39.7,33119.0,50592.0,255738.0,129918.0,66833.0,497776.0,41.2,35639.0,55095.0,263225.0,143672.0,273,291,6.593407000000001,5.596299999999999,5.77572,3.20604,22.1,22.2,5.6,5.2,5.7,6.0
Stanislaus,50671.0,512469.0,32.6,21820.0,91291.0,240373.0,141746.0,51591.0,530561.0,33.8,22915.0,95739.0,246661.0,154736.0,327,366,11.926606,6.31233,6.760839999999999,7.105322,31.9,30.4,9.8,10.4,9.2,10.9
Sutter,50010.0,94192.0,34.4,22464.0,14125.0,44792.0,26591.0,52943.0,95406.0,35.6,24335.0,16535.0,43753.0,29263.0,51,59,15.686275,5.3934000000000015,6.1421199999999985,13.882177,27.4,31.7,8.4,8.5,8.2,9.3
Tehama,38753.0,62985.0,39.4,20689.0,12796.0,26626.0,22270.0,40687.0,63015.0,40.6,21521.0,13363.0,26450.0,23185.0,34,33,-2.941176,5.36726,5.201440000000002,-3.08957,26.8,27.2,8.1,7.4,7.8,8.0
Trinity,37672.0,13711.0,49.3,22551.0,2366.0,5699.0,5805.0,35270.0,13180.0,50.6,22387.0,2607.0,5317.0,5948.0,12,6,-50.0,8.77385,4.67326,-46.736506,24.4,33.4,7.4,4.5,7.3,5.3
Tulare,43550.0,436234.0,29.5,17986.0,102165.0,193878.0,116099.0,42789.0,455769.0,30.4,18257.0,127130.0,191722.0,135830.0,215,264,22.790698000000006,4.80599,5.7287300000000005,19.199716,28.2,37.1,7.7,8.5,7.7,9.3
Tuolumne,47359.0,55736.0,47.2,26084.0,6850.0,23645.0,23390.0,50731.0,53864.0,48.2,29431.0,7176.0,22167.0,23843.0,31,26,-16.129032000000002,5.6536300000000015,4.8338800000000015,-14.499546,22.4,33.0,8.1,6.5,7.6,7.3
Ventura,76728.0,815745.0,36.2,32740.0,79964.0,423711.0,207174.0,78593.0,843110.0,37.3,34331.0,88486.0,439178.0,223522.0,553,634,14.647378,6.6547100000000015,7.449219999999999,11.938988,21.0,20.3,6.6,7.5,6.6,8.3
Yolo,57920.0,198889.0,30.1,28631.0,35674.0,102047.0,57511.0,57663.0,209671.0,30.9,28996.0,38898.0,102202.0,67330.0,138,152,10.144928,6.8289100000000005,7.0383700000000005,3.067282,21.1,24.0,7.3,5.7,7.2,6.5
Yuba,46617.0,71817.0,31.7,20046.0,14222.0,32376.0,20766.0,48739.0,73897.0,32.2,21418.0,15080.0,32120.0,23176.0,31,29,-6.451613,4.2752099999999995,3.85715,-9.778718,27.4,34.4,8.8,11.7,8.5,11.6
