County,Household Income 2011,Population 2011,Median Age 2011,Per Capita Income 2011,Poverty Count 2011,Employed Persons Over 16 2011,Unemployed Persons Over 16 2011,Household Income 2016,Population 2016,Median Age 2016,Per Capita Income 2016,Poverty Count 2016,Employed Persons Over 16 2016,Unemployed Persons Over 16 2016,"Fast-food restaurants, 2011","Fast-food restaurants, 2016","Fast-food restaurants (% change), 2011-16","Fast-food restaurants/10,000 pop, 2011","Fast-food restaurants/10,000 pop, 2016","Fast-food restaurants/1,000 pop (% change), 2011-16",Obesity 2011 %,Obesity 2016 %,New Diabetes per 1k : 2011,New Diabetes per 1k : 2016,Diagnosed Diabetes 2011 %,Diagnosed Diabetes 2016 %,Population 2012,No Education 2012,High School Education 2012,GED education 2012,Associate Education 2012,Bachelor Education 2012,Masters Education 2012,Professional Education 2012,Doctorate Education 2012,College 2012,College Rate 2012,No Education 2016,High School Education 2016,GED education 2016,Associate Education 2016,Bachelor Education 2016,Masters Education 2016,Professional Education 2016,Doctorate Education 2016,College 2016,College Rate 2016
Alameda,70821.0,1494876.0,36.4,34937.0,173156.0,792734.0,401593.0,79831.0,1605217.0,37.2,39042.0,189590.0,864007.0,434239.0,1090,1293,18.623853,7.11388,7.82102,9.940291,20.2,19.2,7.3,5.6,7.7,6.7,1515136.0,21320.0,183121.0,16511.0,69629.0,249246.0,116816.0,27561.0,27987.0,491239.0,32.42210600236547,26836.0,182207.0,18164.0,74447.0,282754.0,141689.0,32639.0,31512.0,563041.0,35.07569381585169
Alpine,59018.0,1167.0,40.4,29576.0,170.0,581.0,351.0,62375.0,1184.0,42.8,26783.0,221.0,468.0,499.0,2,0,-100.0,18.29826,0.0,-100.0,22.6,20.9,8.4,4.1,8.0,4.6,1197.0,0.0,153.0,58.0,49.0,142.0,76.0,14.0,22.0,303.0,25.313283208020053,5.0,189.0,68.0,46.0,140.0,67.0,8.0,20.0,281.0,23.73310810810811
Amador,56180.0,38244.0,48.0,28030.0,3372.0,15650.0,17192.0,57032.0,36963.0,50.3,27496.0,3684.0,14540.0,17341.0,12,21,75.0,3.1966799999999997,5.6040300000000025,75.308222,24.8,29.8,8.3,10.1,7.8,10.4,37764.0,198.0,7117.0,938.0,2802.0,4042.0,825.0,417.0,138.0,8224.0,21.777354093845986,279.0,6562.0,1131.0,2554.0,4212.0,1192.0,540.0,240.0,8738.0,23.639856072288502
Butte,42971.0,219309.0,37.2,23431.0,42283.0,101633.0,77585.0,44366.0,223877.0,36.9,25077.0,46456.0,102069.0,81862.0,147,158,7.482993,6.68173,6.97495,4.388394,24.2,27.2,9.0,8.0,8.6,8.7,220101.0,2273.0,27686.0,4560.0,12955.0,22359.0,7246.0,2598.0,1585.0,46743.0,21.23706843676312,2749.0,27537.0,5238.0,14030.0,25225.0,8002.0,2915.0,1611.0,51783.0,23.13011162379342
Calaveras,55256.0,45794.0,49.0,28667.0,3751.0,20270.0,17987.0,53502.0,44787.0,51.2,30577.0,5641.0,18329.0,19512.0,26,30,15.384615,5.75692,6.62032,14.997581,23.9,30.4,7.6,7.9,7.4,8.3,45507.0,87.0,8778.0,1186.0,3234.0,4988.0,1373.0,513.0,142.0,10250.0,22.524007295580898,310.0,8057.0,1158.0,3692.0,4645.0,1550.0,424.0,226.0,10537.0,23.526916292674212
Colusa,49558.0,21297.0,33.5,21271.0,3029.0,10283.0,5348.0,54946.0,21361.0,34.7,25745.0,2859.0,10049.0,5974.0,16,8,-50.0,7.48853,3.696,-50.644490999999995,22.0,40.6,8.0,24.2,7.8,20.1,21329.0,268.0,2817.0,388.0,1181.0,1430.0,231.0,77.0,24.0,2943.0,13.798115242158566,395.0,2712.0,214.0,1331.0,1474.0,233.0,195.0,30.0,3263.0,15.275502083235805
Contra Costa,79135.0,1037817.0,38.3,38141.0,101562.0,534819.0,275053.0,82881.0,1107925.0,39.1,40792.0,111922.0,565656.0,311901.0,599,701,17.028381,5.6181800000000015,6.15644,9.580732000000001,22.2,23.8,7.6,7.0,7.6,7.8,1052047.0,9480.0,122120.0,13334.0,57478.0,173014.0,64802.0,21327.0,13043.0,329664.0,31.33548216001757,12041.0,121647.0,15145.0,61945.0,192616.0,73252.0,22496.0,14818.0,365127.0,32.95593113252251
Del Norte,37588.0,28561.0,38.9,19247.0,5313.0,10375.0,12614.0,42363.0,27628.0,38.1,20282.0,5219.0,9978.0,12388.0,15,10,-33.333333,5.2729599999999985,3.64299,-30.911960999999998,25.2,34.4,8.4,8.5,8.0,8.9,28496.0,282.0,4801.0,1080.0,1319.0,1864.0,510.0,141.0,212.0,4046.0,14.19848399775407,210.0,4703.0,1260.0,1659.0,1688.0,678.0,311.0,214.0,4550.0,16.468799768350948
El Dorado,68815.0,179878.0,43.1,34385.0,15010.0,92466.0,51492.0,72586.0,183000.0,45.2,37089.0,17839.0,88875.0,60878.0,97,110,13.402061999999999,5.3598599999999985,5.90534,10.177258,20.5,21.5,6.9,5.3,6.7,6.2,180441.0,689.0,25197.0,3038.0,12771.0,26975.0,8419.0,2869.0,1287.0,52321.0,28.996181577357696,1138.0,24533.0,3823.0,13770.0,27316.0,10371.0,3390.0,1900.0,56747.0,31.00928961748634
Fresno,46903.0,920623.0,30.6,20638.0,211140.0,421989.0,255721.0,45963.0,963160.0,31.6,21057.0,254872.0,432698.0,281602.0,569,634,11.42355,6.0508700000000015,6.4724699999999995,6.967445,28.3,31.4,9.5,10.2,9.1,10.7,930517.0,24671.0,108324.0,15281.0,42060.0,71394.0,21783.0,9196.0,3569.0,148002.0,15.905351541132509,26749.0,114262.0,17448.0,47219.0,76303.0,24116.0,8969.0,4887.0,161494.0,16.767099962623032
