County,2011,2016
California,"37,638,369","39,167,117"
Alameda,"1,530,915","1,650,950"
Alpine,"1,093","1,047"
Amador,"37,543","37,429"
Butte,"219,975","226,231"
Calaveras,"45,160","45,322"
Colusa,"21,323","21,496"
Contra Costa,"1,065,440","1,137,268"
Del Norte,"28,443","27,382"
El Dorado,"180,936","185,976"
Fresno,"939,406","976,830"
Glenn,"28,139","27,840"
Humboldt,"135,243","136,290"
Imperial,"175,786","180,179"
Inyo,"18,392","17,922"
Kern,"847,970","880,856"
Kings,"151,868","149,382"
Lake,"64,251","63,903"
Lassen,"34,246","30,721"
Los Angeles,"9,876,482","10,105,708"
Madera,"151,675","153,956"
Marin,"255,376","260,562"
Mariposa,"18,170","17,456"
Mendocino,"87,334","87,285"
Merced,"259,297","267,628"
Modoc,"9,509","8,961"
Mono,"14,422","14,273"
Monterey,"420,456","433,953"
Napa,"137,691","140,840"
Nevada,"98,701","98,913"
Orange,"3,049,271","3,164,986"
Placer,"356,328","378,943"
Plumas,"19,719","18,665"
Riverside,"2,234,070","2,380,081"
Sacramento,"1,433,730","1,510,987"
San Benito,"55,977","59,225"
San Bernardino,"2,060,827","2,131,960"
San Diego,"3,137,156","3,306,089"
San Francisco,"815,650","871,512"
San Joaquin,"694,354","732,809"
San Luis Obispo,"271,058","281,803"
San Mateo,"728,344","767,906"
Santa Barbara,"425,453","444,340"
Santa Clara,"1,812,054","1,928,368"
Santa Cruz,"264,858","274,396"
Shasta,"177,588","178,571"
Sierra,"3,098","2,951"
Siskiyou,"44,615","43,376"
Solano,"416,342","438,858"
Sonoma,"487,421","502,547"
Stanislaus,"517,560","539,255"
Sutter,"94,482","95,742"
Tehama,"63,331","63,453"
Trinity,"13,685","12,828"
Tulare,"446,784","459,235"
Tuolumne,"54,830","53,770"
Ventura,"830,099","847,323"
Yolo,"201,954","215,627"
Yuba,"72,489","74,952"
