County,"Fast-food restaurants, 2011","Fast-food restaurants, 2016","Fast-food restaurants (% change), 2011-16","Fast-food restaurants/1,000 pop, 2011","Fast-food restaurants/1,000 pop, 2016","Fast-food restaurants/1,000 pop (% change), 2011-16","Full-service restaurants, 2011","Full-service restaurants, 2016","Full-service restaurants (% change), 2011-16","Full-service restaurants/1,000 pop, 2011","Full-service restaurants/1,000 pop, 2016","Full-service restaurants/1,000 pop (% change), 2011-16","Expenditures per capita, fast food, 2007*","Expenditures per capita, fast food, 2012*","Expenditures per capita, restaurants, 2007*","Expenditures per capita, restaurants, 2012*"
Alameda,1090,1293,18.623853,0.711388,0.782102,9.940291,1401,1560,11.349036,0.914363,0.943604,3.198009,761.447125,642.487457,755.587505,750.318646
Alpine,2,0,-100,1.829826,0,-100,3,1,-66.666667,2.744739,0.946074,-65.531378,761.447125,642.487457,755.587505,750.318646
Amador,12,21,75,0.319668,0.560403,75.308222,39,44,12.820513,1.03892,1.174179,13.01922,761.447125,642.487457,755.587505,750.318646
Butte,147,158,7.482993,0.668173,0.697495,4.388394,125,132,5.6,0.568174,0.582717,2.559615,761.447125,642.487457,755.587505,750.318646
Calaveras,26,30,15.384615,0.575692,0.662032,14.997581,39,41,5.128205,0.863539,0.904778,4.775574,761.447125,642.487457,755.587505,750.318646
Colusa,16,8,-50,0.748853,0.3696,-50.644491,10,11,10,0.468033,0.508201,8.582121,761.447125,642.487457,755.587505,750.318646
Contra Costa,599,701,17.028381,0.561818,0.615644,9.580732,686,757,10.349854,0.643417,0.664825,3.327225,761.447125,642.487457,755.587505,750.318646
Del Norte,15,10,-33.333333,0.527296,0.364299,-30.911961,16,24,50,0.562449,0.874317,55.448087,761.447125,642.487457,755.587505,750.318646
El Dorado,97,110,13.402062,0.535986,0.590534,10.177258,165,202,22.424242,0.911728,1.084436,18.942875,761.447125,642.487457,755.587505,750.318646
Fresno,569,634,11.42355,0.605087,0.647247,6.967445,490,519,5.918367,0.521077,0.529844,1.682429,761.447125,642.487457,755.587505,750.318646
